name,procs,app_type,avg_total_time,compute_time,mpi_time,ipc,dp_flops_per_node,bw_per_node
bt.D,256,mpi,123.96125,0.903368697419151,0.096631302580849,1.71085639107211,33258042821.3373,25006667640.3219
bt.D,484,mpi,60.028,0.870304964534081,0.129695035465919,1.83025938156611,35818561430.6405,26241708284.9893
bt.E,1024,mpi,511.22,0.930561465843921,0.069438534156079,1.83648511502039,31676672675.0137,26388892317.2983
cg.D,128,mpi,93.266,0.804991487449297,0.195008512550703,0.926486492905879,8697874861.84206,38783374450.4515
cg.E,512,mpi,359.3,0.784921623866708,0.215078376133292,0.932005675783984,6685089110.92723,49425393429.8846
cg.E,1024,mpi,256.09,0.715229979408986,0.284770020591014,0.988817833092796,5597442455.04267,40615529154.8427
ep.E,256,mpi,145.935,0.963929660811422,0.036070339188578,1.22086999774314,31556925108.8058,35333522.0457622
ep.E,512,mpi,75.1975,0.897953610179259,0.102046389820741,1.22972930053412,30730266372.8508,56959939.407983
ft.D,256,mpi,56.0777777777778,0.712129368594752,0.287870631405248,1.20144186396131,13247548679.4572,15852182423.6337
ft.E,512,mpi,247.875,0.729246264038325,0.270753735961675,1.11515873854152,13323071420.8668,18822096461.0305
ft.E,1024,mpi,136.71,0.674214744915116,0.325785255084884,0.99413055373784,12078885557.6979,20312955706.2398
lu.D,128,mpi,138.5125,0.888707691386999,0.111292308613001,1.40131212999368,33620531220.9485,26215270976.0525
lu.D,256,mpi,73.5575,0.840674174092373,0.159325825907627,1.39976742341401,34083007447.9514,27185410081.8668
lu.E,512,mpi,542.87,0.905953158999421,0.094046841000579,1.39405204419486,36315336447.1112,26814868790.4349
lu.E,1024,mpi,282.36,0.865002835056175,0.134997164943824,1.4131998387995,34899570270.8559,26387398862.2841
sp.D,121,mpi,318.87,0.881976376572929,0.118023623427071,0.773696794182387,9363657081.70235,43078789504.6956
sp.D,256,mpi,116.284,0.866717662428606,0.133282337571393,0.931928353321453,13669552316.7668,46606256474.1306
sp.D,484,mpi,58.492,0.823637824400442,0.176362175599558,1.3201856054448,13926574255.6896,38358859543.7117
sp.E,1024,mpi,561.03,0.841317665284018,0.158682334715982,0.871551931760636,11157434074.6564,46167140567.6493
605.lbm,1024,mpi,714.573262,0.923882358334534,0.076117641665466,1.45994716178804,36786630532.1886,4841516036.02316
613.soma,1024,mpi,551.4491625,0.809564451590629,0.190435548409371,1.67725412091773,9803462510.81773,28721327513.205
618.tealeaf,1024,mpi,612.650308,0.717250516123464,0.282749483876536,1.65302838907993,16354840188.7353,48770486282.2008
619.clvleaf,1024,mpi,382.135109666667,0.959692982617323,0.040307017382677,1.42962843619933,10933545181.7975,61635913230.0908
621.miniswp,1024,mpi,656.7857445,0.577777143172297,0.422222856827703,2.03112566054822,3713014904.01675,2413687146.30263
634.hpgmgfv,1024,mpi,245.7910058,0.762779201175959,0.237220798824041,1.99615487038268,18994468688.9887,54740871929.9153
635.weather,1024,mpi,662.770165,0.54647203846535,0.45352796153465,2.36963841149809,15299382795.8315,5990034310.43401
sp.A.mpi,1,mpi,318.87,0.881976376572929,0.118023623427071,0.773696794182387,9363657081.70235,43078789504.6956
