name,avg_total_time,compute_time,mpi_time,ipc,dp_FLOPS_per_node,bw_per_node
bt.D.256,123.96125,0.9033686974191508,0.0966313025808491,1.71085639107211,33258042821.337288,25006667640.32186
bt.D.484,60.027999999999984,0.8703049645340808,0.1296950354659193,1.8302593815661143,35818561430.64046,26241708284.98927
bt.E.1024,511.22,0.9305614658439212,0.0694385341560788,1.836485115020392,31676672675.01373,26388892317.298286
cg.D.128,93.266,0.8049914874492967,0.1950085125507033,0.9264864929058788,8697874861.842062,38783374450.451454
cg.E.512,359.3,0.7849216238667082,0.2150783761332918,0.9320056757839836,6685089110.92723,49425393429.884605
cg.E.1024,256.09,0.7152299794089862,0.2847700205910138,0.9888178330927964,5597442455.042671,40615529154.84269
ep.E.256,145.935,0.9639296608114216,0.0360703391885784,1.2208699977431403,31556925108.8058,35333522.0457622
ep.E.512,75.1975,0.8979536101792588,0.1020463898207412,1.2297293005341232,30730266372.850758,56959939.40798299
ft.D.256,56.07777777777778,0.7121293685947517,0.2878706314052482,1.2014418639613087,13247548679.4572,15852182423.63372
ft.E.512,247.875,0.7292462640383247,0.2707537359616753,1.115158738541516,13323071420.866812,18822096461.03048
ft.E.1024,136.71,0.6742147449151159,0.325785255084884,0.9941305537378404,12078885557.69793,20312955706.239822
lu.D.128,138.5125,0.8887076913869992,0.1112923086130008,1.4013121299936824,33620531220.948486,26215270976.052498
lu.D.256,73.5575,0.8406741740923731,0.1593258259076269,1.3997674234140132,34083007447.951366,27185410081.866844
lu.E.512,542.87,0.9059531589994212,0.0940468410005786,1.3940520441948576,36315336447.11115,26814868790.434883
lu.E.1024,282.36,0.8650028350561755,0.1349971649438244,1.4131998387995046,34899570270.855865,26387398862.28413
sp.D.121,318.87,0.8819763765729287,0.1180236234270713,0.7736967941823873,9363657081.70235,43078789504.6956
sp.D.256,116.284,0.8667176624286065,0.1332823375713935,0.9319283533214529,13669552316.766842,46606256474.13056
sp.D.484,58.492,0.8236378244004418,0.1763621755995582,1.3201856054447962,13926574255.689606,38358859543.711685
sp.E.1024,561.03,0.8413176652840177,0.1586823347159823,0.8715519317606361,11157434074.6564,46167140567.64934
605.lbm.1024,714.573262,0.923882358334534,0.0761176416654658,1.459947161788036,36786630532.18858,4841516036.023156
613.soma.1024,551.4491625,0.8095644515906293,0.1904355484093707,1.677254120917729,9803462510.817726,28721327513.20503
618.tealeaf.1024,612.650308,0.7172505161234641,0.2827494838765358,1.6530283890799342,16354840188.735306,48770486282.20082
619.clvleaf.1024,382.13510966666666,0.9596929826173232,0.0403070173826766,1.4296284361993323,10933545181.797544,61635913230.09076
621.miniswp.1024,656.7857445,0.5777771431722969,0.4222228568277031,2.0311256605482177,3713014904.0167513,2413687146.3026285
634.hpgmgfv.1024,245.7910058,0.7627792011759587,0.2372207988240413,1.9961548703826824,18994468688.988705,54740871929.91526
635.weather.1024,662.770165,0.5464720384653502,0.4535279615346498,2.369638411498086,15299382795.831528,5990034310.434007
sp.A.mpi,318.87,0.8819763765729287,0.1180236234270713,0.7736967941823873,9363657081.70235,43078789504.6956
